budget_name,logical_query_cap,logical_query_fraction,median_effective_query_count,median_effective_query_fraction,adjudicative,separate_controller_run,output_A_ABSTAIN_count,output_A_FINE_count,output_A_LOCAL_AMBIGUOUS_count,output_A_SECTOR_SAFE_count,output_A_SUPPORT_AMBIGUOUS_count,output_A_ABSENT_ABOVE_BETA_MIN_count,output_B_ABSTAIN_count,output_B_FINE_count,output_B_LOCAL_AMBIGUOUS_count,output_B_SECTOR_SAFE_count,output_B_SUPPORT_AMBIGUOUS_count,output_B_ABSENT_ABOVE_BETA_MIN_count,output_C_ABSTAIN_count,output_C_FINE_count,output_C_LOCAL_AMBIGUOUS_count,output_C_SECTOR_SAFE_count,output_C_SUPPORT_AMBIGUOUS_count,output_C_ABSENT_ABOVE_BETA_MIN_count,output_D_ABSTAIN_count,output_D_FINE_count,output_D_LOCAL_AMBIGUOUS_count,output_D_SECTOR_SAFE_count,output_D_SUPPORT_AMBIGUOUS_count,output_D_ABSENT_ABOVE_BETA_MIN_count
secondary_descriptive,108,0.5,108,0.5,False,False,15,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,11,0,4,0,0,0,1,10
primary,162,0.75,148,0.6851851851851852,True,False,5,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,11,4,0,0,0,4,1,10
