scope,profile,condition,budget_fraction,n,oracle_ambiguous_n,oracle_fine_n,oracle_nonambiguous_n,output_ABSTAIN,output_AMBIGUOUS,output_FINE,output_SECTOR_SAFE,outputs_json,ambiguous_recall,fine_recall,safe_nonambiguous_rate,nonabstain_yield,abstain_rate,median_query_fraction,worst_query_fraction
CONDITION,ALL,INTERMEDIATE_INFORMATION_S3,0.2,18,14,2,4,10,8,0,0,"{""ABSTAIN"":10,""AMBIGUOUS"":8}",0.5714285714285714,0.0,0.0,0.4444444444444444,0.5555555555555556,0.2,0.2
CONDITION,ALL,INTERMEDIATE_INFORMATION_S3,0.35,18,14,2,4,6,12,0,0,"{""ABSTAIN"":6,""AMBIGUOUS"":12}",0.8571428571428571,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2575609756097561,0.3492682926829268
CONDITION,ALL,INTERMEDIATE_INFORMATION_S3,0.5,18,14,2,4,2,14,0,2,"{""ABSTAIN"":2,""AMBIGUOUS"":14,""SECTOR_SAFE"":2}",1.0,0.0,0.5,0.8888888888888888,0.1111111111111111,0.2575609756097561,0.4995121951219512
CONDITION,ALL,INTERMEDIATE_INFORMATION_S3,0.75,18,14,2,4,0,14,1,3,"{""AMBIGUOUS"":14,""FINE"":1,""SECTOR_SAFE"":3}",1.0,0.5,1.0,1.0,0.0,0.2575609756097561,0.7492682926829268
CONDITION,ALL,INTERMEDIATE_INFORMATION_S3,1.0,18,14,2,4,0,14,2,2,"{""AMBIGUOUS"":14,""FINE"":2,""SECTOR_SAFE"":2}",1.0,1.0,1.0,1.0,0.0,0.2575609756097561,0.7570731707317073
CONDITION,ALL,LOW_INFORMATION_F0,0.1,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
CONDITION,ALL,LOW_INFORMATION_F0,0.2,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
CONDITION,ALL,LOW_INFORMATION_F0,0.35,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
CONDITION,ALL,LOW_INFORMATION_F0,0.5,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
CONDITION,ALL,LOW_INFORMATION_F0,0.75,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
CONDITION,ALL,LOW_INFORMATION_F0,1.0,18,18,0,0,0,18,0,0,"{""AMBIGUOUS"":18}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,0.1,6,0,2,6,6,0,0,0,"{""ABSTAIN"":6}",,0.0,0.0,0.0,1.0,0.0975609756097561,0.0975609756097561
