scope,profile,condition,budget_fraction,n,oracle_ambiguous_n,oracle_fine_n,oracle_nonambiguous_n,output_ABSTAIN,output_AMBIGUOUS,output_FINE,output_SECTOR_SAFE,outputs_json,ambiguous_recall,fine_recall,safe_nonambiguous_rate,nonabstain_yield,abstain_rate,median_query_fraction,worst_query_fraction
POOLED,ALL,ALL,0.1,54,34,7,20,29,25,0,0,"{""ABSTAIN"":29,""AMBIGUOUS"":25}",0.7352941176470589,0.0,0.0,0.46296296296296297,0.5370370370370371,0.0975609756097561,0.09951219512195122
POOLED,ALL,ALL,0.2,54,34,7,20,27,27,0,0,"{""ABSTAIN"":27,""AMBIGUOUS"":27}",0.7941176470588235,0.0,0.0,0.5,0.5,0.1969647696476965,0.2
POOLED,ALL,ALL,0.35,54,34,7,20,23,31,0,0,"{""ABSTAIN"":23,""AMBIGUOUS"":31}",0.9117647058823529,0.0,0.0,0.5740740740740741,0.42592592592592593,0.20878048780487807,0.34959349593495936
POOLED,ALL,ALL,0.5,54,34,7,20,13,33,0,8,"{""ABSTAIN"":13,""AMBIGUOUS"":33,""SECTOR_SAFE"":8}",0.9705882352941176,0.0,0.4,0.7592592592592593,0.24074074074074073,0.20878048780487807,0.4995121951219512
POOLED,ALL,ALL,0.75,54,34,7,20,0,34,5,15,"{""AMBIGUOUS"":34,""FINE"":5,""SECTOR_SAFE"":15}",1.0,0.7142857142857143,1.0,1.0,0.0,0.20878048780487807,0.7492682926829268
POOLED,ALL,ALL,1.0,54,34,7,20,0,34,7,13,"{""AMBIGUOUS"":34,""FINE"":7,""SECTOR_SAFE"":13}",1.0,1.0,1.0,1.0,0.0,0.20878048780487807,0.7588075880758808
